Monster Name,Climate/Terrain,Frequency,Organization,Activity Cycle,Diet,Intelligence,Treasure,Alignment,No. Appearing,Armor Class,Movement,Hit Dice,THAC0,No. of Attacks,Damage/Attack,Special Attacks,Special Defenses,Magic Resistance,Size,Morale,XP Value
Aranea (Savage Coast),Any,Uncommon,Clan,Any,Omnivore,High (13-14),"M,O (U)",Neutral,1d6,7,"18, Wb 12",3,17,1,1d6 (or by weapon),"Poison, spells, webbing","Spells, webbing",Nil,M (6' diameter),Steady (11-12),650
Aratha (Killer Beetle),Sub-tropical and temperate/nonmountainous land,Rare,Solitary,Any,Carnivore,Average (8-10),Nil,Neutral,1,3,11,9,11,4,1d10/1d10/1d10/1d10,Psionics,Immunities,Nil,L (12' long),Elite (16),"6,000"
Arcane,Any,Very rare,Entourage,Any,Omnivore,Genius (17-18),R,Lawful neutral,1 (1-6),5 (3),12,10,11,1,1-8 (weapon),Nil,"<i>Invisibility</i>, <i>dimension door</i>",40%,L (12' tall),Champion (15),"3,000"
Arcane Head,The Nightmare Lands,Very rare,Flock,Night,Carnivore,Average (10),Nil,Chaotic evil,13,3 (7),Fl 15 (C),2,18,1,1d6 (bite),Bash,Nil,20%,T (1' tall),Elite (13),270
Arch-Shadow,Any,Very rare,Solitary,Any,,Supra-genius (19),Nil (C),Any evil,1,6,9,8+,12,1,1d4+1,"Spell use, energy drain",+1 or better weapons to hit,Nil,M (6' tall),Fearless (19-20),"4,500"
Argos,Space/Any Earth-based body,Very rare,Solitary,"Feed till consume 2&times;HD, then rest 2 hours/HD",Omnivore,Low to High (5-14),U,Neutral evil,1,0,"9, Fl 3 (B)",10-May,5-6 HD: 15<br>7-8 HD: 13<br>9-10 HD: 11<br>,3 per victim,4-Jan,See below,See below,25%,L-G (2' per HD),Champion (16),"5-6 HD: 2,000 (+1,000 for each additional HD)"
Asperii,Mountain peaks,Rare,Herd,Day,Omnivore,High (13-14),Nil,Neutral good,1-4 (rarely 4-40),4,"21, Fl 42 (C)",4,17,3,1d8/1d8/1d4,Nil,"Immune to cold-, air-based, and gaze attacks, <i>true seeing</i>, <i>featherfall</i> (4/day); double damage from fire",Nil,L (8'),Elite (13-14),420
Aurumvorax,Temperate hills,Very rare,Solitary,Day,Carnivore (see below),Animal (1),Special,Neutral,1,0,"9, Br 3",12,9,1,8-Feb,2-8 claws for 2-8 each,See below,Nil,S (3' long),Fearless (19-20),"9,000"
"Automaton, Scaladar",Any warm land or subterranean,Very rare,Special,Any,,Non- (0),Any possible (guardian),Neutral,14,2,9,7+7,13,3,1d12/1d12/2d4 + special,Electrical sting,See below,35%; see below,H (12'+ long),Special,"5,000"
"Baatezu, Greater, Cornugon",Baator,Very rare,Solitary,Any,Carnivore,Exceptional (15-16),"D,S",Lawful evil,45295,-2,"9, F1 18 (C)",10,11,4 or 1 + weapon,1d4/1d4/1d4+1/1d3 or 1d3 + weapon +6 (Strength bonus),"Fear, wounding, stun","Regeneration, +2 weapons to hit",50%,L (9' tall),Elite (13-14),"10,000"
"Baatezu, Greater, Pit Fiend",Baator,Very rare,Solitary,Any,Carnivore,Genius (17-18),"G,W",Lawful evil,45295,-5,"15, Fl 24 (C)",13,7,6,1d4/1d4/1d6/1d6/2d6/2d4 or weapon +6 (Strength bonus),"Fear, poison, tail constriction","Regeneration, +3 weapons to hit",50%,L (12' tall),Fearless (19-20),"21,000"
"Baatezu, Lesser, Barbazu",Baator,Common,Military,Any,Carnivore,Low (5-7),Nil,Lawful evil,20-100,3,15,6+6,13,3 or 1 (weapon),1d2/1d2/1d8 or 2d6 (weapon),"Glaive, disease, battle frenzy",+1 weapon to hit,30%,M (6' tall),Steady (11-12),"6,000"
Baelnorn,Any temperate land,Very rare,Solitary,Any,,As in life (17-20),Any (as guardian),Lawful good (15% are lawful neutral),1,0,9,9+6,11,1,1d10 or by weapon,Spells,+1 or better weapon to hit,50%,M (5' tall),Fearless (20),"10,000"
Bainligor,Underdark,Rare,Tribal,Night,Omnivore,Very (11-12),Nil (Q&times;10),Neutral evil,4-400,7,"6, Jp 9",2+1 to 10+9,See below,2,See below,"Echolocation, stun",Dodge missiles,Nil,M (3-6' tall),Unsteady (5-7),See below
Baku,Semitropical/forests (Outlands),Very rare,Solitary (or group),Day,Herbivore,Exceptional to Genius (15-18),See below,"Neutral (Any, see below)",1 (1d4+1),-2,21,12+12,7,3,3d6/2d6/2d6,"Psionics, magical items, trumpet","Psionics, invisibility",20%,L (as 9' elephant),Elite (13-14),"14,000"
Balhiir,Any,Rare on Negative Energy Plane/Very Rare on Prime Material Plane,Solitary,Any,Energy/magic,Animal,Nil,Neutral,1,8,Fl 18,18,3,1,Nil,Energy/magic drain,"Magic absorption, immunity to physical damage",Special,M (6'-diameter cloud),Steady (12),"16,000"
Banedead,Any,Rare,Pack,Any,,Average (8-10),Nil,Lawful evil,2d6,4,12,6,15,2,1d6/2d6,Dexterity drain,"+1 or better weapon to hit, spell immunities, immune to poison",Nil,M (5'+),Fanatic (17-18),"2,000"
Baneguard,Any land,Rare,Solitary,Any,,Average (8-10),V,Neutral evil,1d10,7,12,4+4,15,1,1d6 or by weapon,Magic missile,Blink,As for skeleton type,M (5-6' tall),Steady (11-12),975
Banelar,Hot to temperate/land or water,Rare,Solitary or small bands,Any,Carnivore,Exceptional to Genius (15-18),"Any (especially Q,V)",Lawful evil,1d4,6 (head and stinger: 3; tentacles 1),12,7+7,15,Up to 5,1d3 plus venom (bite)/2d4 plus venom (sting)/by weapon,"Spells, poison, magical items",Regeneration (1 hp/round),Nil,H (20-25' long),Champion (15-16),"3,000"
Banelich,Any,Very rare,Solitary,Any,,Supra-genius (19-20),"A,S,Z",Lawful evil,1,0,9,17+,5,1,1d10,"Priest spells, hopelessness touch, coldfire missiles, see below","+2 magical weapon needed to hit, fear aura, spell immunities, immune to poison, see below",25%,M (5-6' tall),Fanatic (17-18),"22,000 +1,000 per HD over 17"
Banshee,Any,Very rare,Solitary,Night,,Exceptional (15-16),(D),Chaotic evil,1,0,15,7,13,1,8-Jan,Death wail,+1 or better weapon to hit,50%,M (5'-6' tall),Elite (13),"4,000"
Barracuda,Tropical ocean,Uncommon,School,Day,Carnivore,Non- (0),Nil,Neutral,45334,6,Sw 30,3-Jan,1-2 HD: 19<br>3 HD: 17,1,8-Feb,Nil,Nil,Nil,S (2') to L (12'),Steady (11),1 HD: 15<br>2 HD: 35<br>3 HD: 65
"Bat, Bonebat",Any land,Rare,Flock,Any,,Low (5-7),Nil (unless a guardian),Neutral evil,45330,7,"3, Fl 18 (C)",4,17,1,2d4,Paralysis (1d6+2 rounds),"Never surprised, half damage from edged and piercing weapons, immune to paralysis, <i>charm</i>, <i>sleep</i>, and <i>hold</i>",Nil,M (5-6'),Special,"975<br>Battlebat: 1,400"
"Bat, Sporebat",Temperate hills and plains,Very rare,Clutch,Night,Carnivore,Average to Very (8-12),Nil,Neutral,14,8,"3, Fl 30 (B)",8,13,3,2d6 each,"Surprise, poison eye-blast","Alertness, immune to heat and fire",Nil,"M (3' long, 8' wingspan)",Elite (14),"7,000"
Bear,Temperate land,Very rare,Solitary,Night,,Semi- (2-4),R,Lawful evil,1,0 or 8,12,5+5,15,3,1d3/1d3/1d6,Age,Ethereal,Nil,L (9' tall),Fearless (19-20),"2,000"
"Bear, Ice","Arctic/Plain, hill, and mountain",Uncommon,Pack,Day,Carnivore,Low (5-7),Nil,Neutral,45295,6,"12, Sw 3",6+2,15,3,1-8/1-8/2-16,Hugs for 2-12,See below,Nil,L (12' tall),Average (10),975
Beast of Chaos,Any,Very rare,Solitary or pack,Any,Carnivore,Animal (1),Nil,Chaotic neutral,1 or 1d6+1,0,18,9,11,5,1d4/1d4/2d8/1d6/1d6,Rage,Immunities,30%,S to H (3' to 15'),Average (10),"3,000<br>Flyer 4,000"
Beastman,Tropical and subtropical/Forests,Very rare,Tribal,Day,Omnivore,Average (8-10),"K,Q",Neutral (good),45334,8,12,2,19,1,By weapon (1-8 usually),Nil,Camouflage,80%,M (5' tall),Steady (11-12),270
"Beetle, Dragon","Desert, subterranean",Uncommon,Nest,Any,Carnivore,Non- (0),Nil (B),Neutral,45338,7,15,1,20,1,1d4,Poison,Nil,Nil,T (1' long),Unsteady (5-7),65
Beguiler,Dry steppes,Rare,Solitary,Day,Omnivore,Average to high (8-14),"D (L,N,Q)",Neutral,45295,9,14,2,19,6,1-2(&times;4)/1-4/1 or by weapon type,Illusion,Camouflage,Nil,S (2' long),Average (8-10),270
Behir,Any land,Rare,Solitary,Day,Carnivore,Low (5-7),See below,Neutral evil,45293,4,15,12,9,2 or 7,2-8 (2d4)/2-5 (1d4+1) or 2-8 (2d4)/6&times;1-6,Lightning bolt,"Immune to electricity, poison",Nil,G (40' long),Champion (15),"7,000"
"Beholder (Abomination), Astereater",Any space,Very rare,Solitary,Any,Carnivore,Low to average (5-10),See below,Lawful evil,1,-2,Fl 3 (B),8,13,1,8-Feb,Swallow whole,Nil,Nil,L (8-12' in diameter),Average (8-10),"2,000"
"Beholder, Elder Orb",Any (remote areas),Very rare,Solitary,Any,Omnivore,Godlike (22+),"S,T,V (A,D,E,F)",Lawful evil,1,0/2/7,Fl 3 (B),70-75 hp,5,1,8-Feb,Magic; see below,Anti-magic ray,50%; see below,M (4-6' diameter),Fearless (19),"18,000"
"Beholder-kin, Death Kiss",Any (remote areas),Rare,Solitary,Any,Carnivore,Average to high (8-14),See below,Neutral evil,1,4/6/2008,Fl 9 (C),77-84 hp,11,10,8-Jan,"Blood drain, ram",Regeneration,Nil,"H (6-12' diameter, tentacles to 20' long)",Fanatic (17),"8,000"
Belabra,Temperate forests,Rare,Solitary,Day,Carnivore,Low (5-7),Nil,Neutral,1,"-2 (head), 6 (tentacles)","3, Fl 6 (E)",4+4,15,1 entangle or 1 ram,2-8 (ram only),Bite and barbed tentacles,Blood spray,Nil,M (5' long),Champion (15-16),975
Belgoi,Desert (Athas: Tablelands),Uncommon,Tribe,Any,Omnivore,Average (8-10),M (I),Lawful evil,4-10 (2d4+2),7,12,5,15,2 or 1,1d4+2/1d4+2 or by weapon,"Psionics, Constitution drain",Psionics,Nil,M (6' tall),Average (8-10),"1,400"
Berbalang,Any land or the Astral plane,Very rare,Solitary,Nights of the full moon,Special,Very (11-12),D,Chaotic evil,1,6,"6, Fl 24 (B)",4+1,17,3,1-4/1-4/1-6,Nil,Nil,Nil,M (4-7' tall),Average (10),65
Bhaergala,Temperate or tropical jungles and forests,Rare,Solitary,Day,Carnivore,Average (8-10),Nil,Neutral,1,6,15,4+4,15,2 claws and 1 bite,1-6/1-6/1-8,Pounce,"Poison resistance, spell turning",Nil,L (9' long),Elite (13-14),650
Bichir,Any swamp,Rare,School,Day,Carnivore,Animal (1),"J,K,L,M,N,Q,S,X (up to 3 types per individual)",Lawful good,45295,6,"6, Sw 15",5 to 7,15 (if 5-6 HD)<br>13 (if 7 HD),1,12-Mar,Entangle,Nil,30%,L (9-12' long),Average (8-10),"1,400 (5 HD)<br>3,000 (7 HD)"
Bird,,,,,,,,,,,,,,,,,,,,,
"Bird, Talking",Any land,Very rare,Solitary,Any,Omnivore,Genius (17-18),U,Neutral,1,6,"6, Fl 18 (C)",5,15,1,1d8,Nil,Nil,50%,"S (2' tall, 4' wingspan)",Unsteady (5-7),"1,400"
Bladeling,Acheron,Rare,Theocracy,Night,Omnivore,Average (8-10),Lawful evil (neutral),"R,M (individual); D (group)",45342,2,12,2 to 11,19 to 9,2 or 1,1d6/1d6 or by weapon,Razor storm,See below,10%,M (6' tall),Elite (13),"Varies (120 to 3,000)"
Blazing Bones,Any land,Very rare,Solitary,Any,,"As in life (very-genius, 11-18), but insane",Nil,Chaotic evil,1,5,12,5+5,15,2,1d4+2 (&times;2),Hurling fire,See below,See below,M (average 6' tall),Fearless (20),"3,000"
Blazozoid,Wildspace,Rare,Solitary,Any,Any matter,Very (11-12),Nil,Chaotic neutral,1,7,Fl 36 (B) (or Sr 1),15,5,1,8d6,Firetouch,See below,Nil,G (30' diameter),Champion (15),"12,000"
Blindheim,Subterranean,Very rare,Solitary,Any,Omnivore,Animal (1),Nil (B),Chaotic evil,45295,"3 (base, see below)",9,4+2,17,1,1d8,Blinding stare,Immune to glare,Nil,S (4' tall),Average (8-10),270<br>Leader: 420<br>Ruler: 650
Bloodsipper (Far Realm),Special,Very rare,Plant,Any,Carnivore,Non- (0),Nil,Chaotic neutral,1 (2-12 pod denizens),1,0 vine (pod denizen: 15),20 vine (pod denizen: 4),Nil (pod denizen: 17),2-12 (1 attack per mature pod),1d8 + blood drain,"Blood drain, pod denizens",Vulnerable to salt (2d4/handful),Nil,"G (600+ sq. ft.) vine, S pod",Fearless (20),"1,000 (vine)<br>175 (pod denizen)"
Bloodspirit,Any settled,Rare,,Any,Violent Oppression,7,,Chaotic neutral,45295,0,12,1,20,1,1d3 (talons),Possession,+1 or better to hit,Nil,S (3'),Fanatic (17),60
"Bogeymen, Greater & Lesser",Any,Uncommon,,Any,Fear,10,,Chaotic Evil,1,5,12,1 or 3,20 or 18,2,1d4/1d4x2 (bite and claws),See below,+1 or better to hit,Nil,M,Fanatic (20),350
Boggle,"Any, especially subterranean",Very rare,Family,Night,Omnivore,Low (5-7),Nil (25%: M or Q),Chaotic neutral,1-3 (2-8),5,9,4+3,17,3,"1d4/1d4 (claw), 1d4 (bite)",Rear claws,"Fire resistance, dimensional portal, resist weapon damage, oil",Nil,S (3'),Unsteady (7),270
Bolandi,"Tropical and subtropical/Plains, jungles, hills, and mountains",Very rare,Clan,Any,Herbivore,Average to Very (8-12),Nil,Chaotic good or neutral,45301,7,"12, Swing 18",2+3,17,1,1-4 (weapon),See below,Phase shift,20%,M (4-5' tall),Elite (13),270
Bonesnapper,Tropical or subtropical/Forests and swamps,Rare,Solitary,Day,Carnivore,Non- (0),C,Neutral,45294,4,6,4,17,2,1-8/1-4,Nil,Nil,Nil,M (5' tall),Special,120
Boobrie,Temperate/Lakes,Rare,Solitary,Day,Carnivore,Animal (1),"(O, W)",Neutral,45293,7,"2, Fl 20, Sw 6",4+4,17,1,2d4 or 1d6,Wing buffet,Nil,Nil,M (20' wingspan),Unsteady (5-7),420
Booka,Temperate to subarctic/Inhabited regions,Uncommon,Family,Day,Omnivore,Very (11-12),J,Neutral (chaotic good),45295,7,"12, Fl 18 (A)",½,20,0,Nil,Nil,Invisibility,10%,T (1' tall),Average (8-10),35
Bookworm,Any land (books),Rare,Solitary,Any,Books,Non- (0),Nil,Neutral,1-2 (10-40),2,"12, Br 3",¼,0,0,Nil,Nil,Camouflage,Nil,T (1&rdquo; long),Unreliable (2-4),15
Brain Mole,Any/Below ground,Very rare,Family,Night,Psionic energy,Animal (1),Nil,Neutral,45294,9,"1, Br 3",1 hp,0,0,Nil,Psionic,Psionic,Nil,T (3&rdquo; long),Unsteady (5-7),35
Braxat,"Mountains (Athas: Tablelands, Hinterlands, mountains)",Rare,Solitary,Night,Carnivore,High (13-14),"R,V",Neutral evil,1 or 2,0,15,10,11,1,By weapon +6,"Psionics, breath weapon","Psionics, hit only by magical or metal weapons",Nil,H (15' tall),Fanatic (18),"7,000"
Brownie,Temperate rural,Rare,Tribal,Night,Vegetarian,High (13-14),"O,P,Q",Lawful good,45398,3,12,½,20,1,1-2 (weapon),Spells,Save as 9th-level cleric,Nil,Tiny (2' tall),Steady (11-12),175
"Brownie, Buckawn",Temperate/Forests,Rare,Clan,Day,Omnivore,Average to very (8-12),X,Neutral,45432,3,12,1-Jan,20,1,By weapon,See below,See below,10%,T (2' tall),Steady (11-12),420
"Brownie, Dobie",Temperate rural,Rare,Tribal,Night,Herbivore,Average (8),Nil,Neutral good,45330,5 (9),9,1-4 hp,20,1,By weapon (1d2 or 1d3),Spells,Save as 9th-level priest,Nil,Tiny (2' tall),Average (8-10),120
"Brownie, Quickling",Temperate forests,Very rare,Clan,Night,Omnivore,High to genius (13-18),"(O,P,Q,X)",Chaotic evil (neutral),45398,-3,96,1 HD + 1d4 hp (common; leaders 3 HD; elders 4 HD),19 (common; leaders/elders 17),3,By weapon (S/M 1d3; L 1d2),Spells; poison (leaders only),Invisibility; save as Pr19,Nil,T (2' tall),Elite (13-14),"Normal 2,000<br>Leaders: 3,000<br>Elders: 4,000"
Bugbear,Any subterranean,Uncommon,Tribal,Any,Carnivore,Low to average (5-10),"Individual: J,K,L,M, (B)",Chaotic evil,2-8 (2d4),5 (10),9,3+1,17,1,2-8 (2d4) or by weapon,"Surprise, +2 to damage",Nil,Nil,L (7' tall),Steady to Elite (11-13),120<br>Leader/chief/shaman: 175
Bulette,Temperate/Any terrain,Very rare,Solitary,Any,Carnivore,Animal (1),Nil,Neutral,45293,-0.083333333,14 (3),9,11,3,4-48/3-18/3-18,8' jump,Nil,Nil,"L (9½' tall, 12' long)",Steady (11),"4,000"
"Bulette, Gohlbrorn",Underdark,Rare,Pack,Any,Carnivore,Average (8-10),Nil,Lawful evil,45357,3,"9, Br 18",5,15,2 + special,2d6/3d6 + special,Launch stones,Camouflage,Nil,"M (5-6½' long, 5' high)",Elite (13-14),975
Bullywug,"Tropical, subtropical, and temperate/Swamp",Rare,Tribal,Any,Carnivore,Low to average (5-10),"J,K,M,Q, (&times;5); C in lair",Chaotic evil,29495,6 (better with armor),"3, Sw 15 (9 in armor)",1,19,3 or 1,1-2/1-2/2-5 or by weapon,Hop,Camouflage,Nil,S to M (4-7'),Average (10),65
Bunyip,Temperate fresh water,Rare,Solitary,Any,Carnivore,Animal (1),Nil,Neutral,1,5,12,5,15,1,1d6,"Roar, sever limb",Nil,Nil,M (6' long),Average (10),175
Burbur,Any land,Rare,Solitary,Any,"Slimes, molds, mosses",Animal (1),Nil,Neutral,14,9,12,1-Jan,20,"1 (slimes, molds, and mosses only)",2d4,Nil,Immunities,Nil,T (6&rdquo; to 1' long),Unsteady (5-7),35
Burnbones,Any land,Very rare,Solitary,Any,,High to genius (14-18),Nil,Neutral evil,1,3,12,10,11,1,2d10,"Searing touch, heat aura, priest spells, can cast spell and attack simultaneously","+2 or better magical weapon to hit, spell immunities, immune to poison, immune to fire, quarter damage from cold, half damage by weapon type, turned only by lawful good priests",40%,M (6' tall),Fanatic (17-18),"12,000"
Bvanen,Mountain (cliff),Very rare,Tribal,Night,Omnivore,Very (11-12),Nil,Neutral good,45363,4,"6, Sw 12",3+1,17,3,1d3/1d3/1d4+1,Secreted ooze,See below,Nil,M (5' tall),Average (8-10),420
Campestri,Saltwater swamps,Rare,Herd,Day (inactive in bright sunlight),Herbivore,Semi- (2-4),Nil,Neutral,4d6 per herd,8,12,1,20,1,1,"Spores, sound imitation",Surprised only on 1 or 2,Nil,T-S (3&rdquo; per hp),Unsteady (5-7),65
Cantobele,Swamps and forests,Rare,Solitary,Any,Carnivore,Average to high (8-13),All possible,Neutral evil,1,7,12,2 to 4,2 HD: 19<br>3 HD: 18<br>4 HD: 17,8,See below,Spell use,Immune to cold,Nil,L (7-9' long),Champion (15-16),"2 HD: 650<br>3 HD: 975<br>4 HD: 1,400"
Carapace,Underdark,Very rare,Solitary,Any,"Carnivore, fungivore",Non- (0),Nil,Neutral,1,10 or special,1,1+1 to 2+2,19,1,1d2,See below,See below,Nil,S (1' diameter),Unreliable (2-4),175
Carrion Crawler,Subterranean,Uncommon,Solitary,Any,Carnivore,Non- (0),B,Neutral,45297,7-Mar,12,3+1,17,8 or 1,Special or 1-2,Paralysis,Nil,Nil,L (9' long),Special,420
Carrionette,Odiare,Very rare,Solitary or pack,Any,,Average (8-10),Nil,Chaotic evil,1 or 2d4,6,6,2,19,1,1 point,Paralyzation and domination,See below,Nil,T (6&rdquo; to 2' tall),Fearless (19-20),975
"Cat, Great, Cath Shee",Forests,Rare,Solitary,Any,Carnivore,Low (6),Nil,Chaotic Neutral (good tendencies),1,4,18,4+3,15,3,1-8/1-6/1-6,"Rear claw kick, frenzy",<i>Teleportation</i>,10%,M (4' at shoulder),Champion (15),975
"Cat, Great, Snow Tiger",Subarctic to temperate wilderness,Uncommon,Solitary,Day,Carnivore,Semi- (2-4),Nil,Neutral,14,5,12,6+3,15,3,1d6/1d6/1d10,"Rear claws (2d4 each), speed burst","Never surprised, camouflage",Nil,L (7-10' long),Average (8-10),975
Catoblepas,Any swamp,Very rare,Solitary,Day,Omnivore,Semi- (2-4),(C),Neutral,45293,7,6,6+2,15,1,1-6 + stun,Gaze causes death,Nil,Nil,L (6' tall at shoulder),Steady (11-12),975
Cave Fisher,Subterranean,Rare,Group,Night,Carnivore,Semi- (2-4),Any,Neutral,45295,4,1,3,17 or 15 (see below),2,2-8 (2d4)/2-8 (2d4),Adhesive trapline,See below,Nil,M (7' long),Steady (11-12),175
Cedar Spawn,Special,Rare,Pack,Any,,Low (6),Nil,Chaotic evil,3d6,"2 (trunk), 4 (branches)",9,6+6,15,6,1d8(&times;6),"Entangle, incinerate",+1 or better weapons needed to hit,Nil,L (12-20' tall),Fanatic (17),"4,000"
Centaur,Temperate forest,Rare,Tribal,Day,Omnivore,Low to average (5-10),"M,Q (D,I,T)",Neutral or chaotic good,45299,5 (4),18,4,17,3,1-6/1-6 and weapon,Nil,Nil,Nil,L (8-9' tall),Elite (13-14),175<br>Leader: 270<br>Priest: 420
"Centaur-kin, Dorvesh",Temperate hill or mountain,Very rare,Clan,Day,Omnivore,Average (8-10),"M,Q (B)",Neutral,2-12 (80-120),4 (7),12,4,17,2 hoof or 1 weapon,1d6/1d6 or by weapon,Nil,+4 save vs. spell and poison,Nil,L (5' and taller),Elite (13-14),270<br>Chief: 420
"Centaur-kin, Gnoat",Temperate or tropical hill or mountain,Very rare,Clan,Day,Omnivore,Average (8-10),"M,Q (I)",Neutral,3-12 (100-300),6,15,3+1,17,1,1d6 (by weapon),Rear kick (1d6),+4 save vs. spell and poison,Nil,M (5'+ tall),Steady (12),270<br>Chief: 420<br>Illusionist: 420
"Centaur-kin, Ha'pony",Any temperate,Very rare,Community,Day,Omnivore,Average (8-10),M (I),Neutral good,2-8 (80-150),7 or 6,12,2+2,19,1,1d3,+3 with bows and slings,+2 save vs. spell and poison,Nil,M (4½-5' tall),Steady (11-12),175<br>Mayor: 270
